## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.destinationCode,entity.sourceCode,entity.currency,entity.language,entity.sku,entity.date
KHI-RUH-EN,Riyadh,riyadhair:non-ksa,An ancient fortress that symbolizes Saudi Arabia's unification.,https://riyadhairstage.scene7.com/is/image/aviationservicesstage/riyadh,85.0,/discover-riyadh/diriyah,5000,0,RUH,KHI,SAR,en,KHI-RUH,2025-09-02T02:15:32,
RUH-BOM-EN,Mumbai,riyadhair:kingdom-of-saudi-arabia,Wake up in Mumbai,https://riyadhairstage.scene7.com/is/image/aviationservicesstage/mumbai,74.0,/discover-riyadh/diriyah,5000,0,BOM,RUH,SAR,en,RUH-BOM,2025-08-31T02:50:03,
AMM-JED-EN,Jeddah,riyadhair:non-ksa,Fun and endless activities await at Jeddah.,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/jeddah.jpg,59.0,/discover-riyadh/diriyah,5000,0,JED,AMM,SAR,en,AMM-JED,2025-08-27T07:41:01,
CDG-RUH-EN,Riyadh,riyadhair:kingdom-of-saudi-arabia,An ancient fortress that symbolizes Saudi Arabia's unification,https://riyadhairstage.scene7.com/is/image/aviationservicesstage/riyadh,83.0,/discover-riyadh/diriyah,5000,0,RUH,CDG,SAR,en,CDG-RUH,2025-09-02T09:38:39,
RUH-CAI-EN,Cairo,riyadhair:kingdom-of-saudi-arabia,Vibrant experience in the heart of Egypt,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/cairo.png,56.0,/discover-riyadh/diriyah,5000,0,CAI,RUH,SAR,en,RUH-CAI,2025-09-02T00:14:37,
RUH-DXB-EN,Dubai,riyadhair:kingdom-of-saudi-arabia,Catch Dubai's Beat,https://s7g10.scene7.com/is/image/aviationservicesstage/dubai,89.0,/discover-riyadh/diriyah,5000,0,DXB,RUH,SAR,en,RUH-DXB,2025-08-31T11:27:41,
RUH-AMM-EN,Amman,riyadhair:non-ksa,Lost in the wonders of Ammam.,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/Ammam.jpg,64.0,/discover-riyadh/diriyah,5000,0,AMM,RUH,SAR,en,RUH-AMM,2025-08-29T09:46:33,
RUH-SIN-EN,Singapore,riyadhair:non-ksa,City lights; city sights – Singapore nights.,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/Singapore.jpg,56.0,/discover-riyadh/diriyah,5000,0,SIN,RUH,SAR,en,RUH-SIN,2025-08-31T14:30:42,
DMM-KUL-EN,Kuala Lumpur,riyadhair:kingdom-of-saudi-arabia,Malaysia’s sunrise: A new day in paradise.,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/Malaysia.jpg,104.0,/discover-riyadh/diriyah,5000,0,KUL,DMM,SAR,en,DMM-KUL,2025-09-02T11:36:11,
RUH-JED-EN,Jeddah,riyadhair:kingdom-of-saudi-arabia,Fun and endless activities await at Jeddah,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/jeddah.jpg,77.0,/discover-riyadh/diriyah,5000,0,JED,RUH,SAR,en,RUH-JED,2025-09-02T06:03:19,
RUH-LHR-EN,London,riyadhair:kingdom-of-saudi-arabia,Next stop: London,https://riyadhairstage.scene7.com/is/image/aviationservicesstage/london,86.0,/discover-riyadh/diriyah,5000,0,LHR,RUH,SAR,en,RUH-LHR,2025-08-29T10:38:12,
RUH-DEL-EN,New Delhi,riyadhair:non-ksa,Delhi is a city of dreams where anything is possible.,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/delhi.jpg,55.0,/discover-riyadh/diriyah,5000,0,DEL,RUH,SAR,en,RUH-DEL,2025-08-31T05:19:53,
CAI-RUH-EN,Riyadh,riyadhair:non-ksa,An ancient fortress that symbolizes Saudi Arabia's unification.,https://riyadhairstage.scene7.com/is/image/aviationservicesstage/riyadh,52.0,/discover-riyadh/diriyah,5000,0,RUH,CAI,SAR,en,CAI-RUH,2025-08-29T09:30:28,
JFK-CDG-EN,Paris,riyadhair:kingdom-of-saudi-arabia,Bonjour Paris,https://riyadhairstage.scene7.com/is/image/aviationservicesstage/paris-1,80.0,/discover-riyadh/diriyah,5000,0,CDG,JFK,SAR,en,JFK-CDG,2025-09-02T03:28:28,
RUH-KUL-EN,Kuala Lumpur,riyadhair:non-ksa,Extensive forests; beautiful beaches; exotic wildlife; and majestic volcanoes.	,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/Malaysia.jpg,64.0,/discover-riyadh/diriyah,5000,0,KUL,RUH,SAR,en,RUH-KUL,2025-08-29T02:50:21,
RUH-MNL-EN,Manila,riyadhair:non-ksa,Extensive forests; beautiful beaches; exotic wildlife and majestic volcanoes.,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/Philippines.jpg,57.0,/discover-riyadh/diriyah,5000,0,MNL,RUH,SAR,en,RUH-MNL,2025-08-29T08:29:49,
DEL-SIN-EN,Singapore,riyadhair:kingdom-of-saudi-arabia,City lights; city sights - Singapore nights.,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/Singapore.jpg,78.0,/discover-riyadh/diriyah,5000,0,SIN,DEL,SAR,en,DEL-SIN,2025-08-31T01:58:39,
RUH-KHI-EN,Karachi,riyadhair:non-ksa,A vibrant hub of culture; history; commerce and diversity.,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/Karachi.jpg,50.0,/discover-riyadh/diriyah,5000,0,KHI,RUH,SAR,en,RUH-KHI,2025-09-02T01:03:03,
CDG-JFK-EN,New York,riyadhair:kingdom-of-saudi-arabia,New York is where the future comes to audition,https://riyadhairstage.scene7.com/is/image/aviationservicesstage/new-york,71.0,/discover-riyadh/diriyah,5000,0,JFK,CDG,SAR,en,CDG-JFK,2025-08-27T06:51:04,
RUH-CDG-EN,Paris,riyadhair:kingdom-of-saudi-arabia,Bonjour Paris,https://riyadhairstage.scene7.com/is/image/aviationservicesstage/paris-1,64.0,/discover-riyadh/diriyah,5000,0,CDG,RUH,SAR,en,RUH-CDG,2025-08-27T01:20:22,
RUH-JFK-EN,New York,riyadhair:kingdom-of-saudi-arabia,New York is where the future comes to audition,https://riyadhairstage.scene7.com/is/image/aviationservicesstage/new-york,74.0,/discover-riyadh/diriyah,5000,0,JFK,RUH,SAR,en,RUH-JFK,2025-08-31T00:21:14,
JFK-DMM-EN,Dammam,riyadhair:kingdom-of-saudi-arabia,Lost in Dammam's charm.,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/Dammam.jpg,96.0,/discover-riyadh/diriyah,5000,0,DMM,JFK,SAR,en,JFK-DMM,2025-08-29T08:44:33,
LHR-DEL-EN,New Delhi,riyadhair:kingdom-of-saudi-arabia,Delhi is a city of dreams; where anything is possible.,/content/dam/riyadhair/static-assets/destination-recommendation-thumbnails/delhi.jpg,68.0,/discover-riyadh/diriyah,5000,0,DEL,LHR,SAR,en,LHR-DEL,2025-08-31T01:12:45,
KHI-RUH-AR,,riyadhair:non-ksa,طويي ترييااييننييتت ااتتموتتموننانان تتhترتت انااننددتتوويينأننان ظظترككوويي طوموترددييتر'ان ككييييااييااترتتييتتيي.,https://riyadhairstage.scene7.com/is/image/aviationservicesstage/riyadh,51.0,/discover-riyadh/diriyah,5000,0,RUH,KHI,SAR,ar,KHI-RUH,2025-08-31T06:51:11,
RUH-BOM-AR,,riyadhair:kingdom-of-saudi-arabia,صباحك في مومباي,https://riyadhairstage.scene7.com/is/image/aviationservicesstage/mumbai,75.0,/discover-riyadh/diriyah,5000,0,BOM,RUH,SAR,ar,RUH-BOM,2025-08-27T11:56:11,
